Timestamp (ms), Piezo Value Left, Piezo Value Right, Flex Value Middle,Label
0,68,66,761, left
108,69,69,760, left
219,67,66,760, left
330,68,69,760, right
441,61,66,760, right
552,66,69,761, right
663,60,67,760, right
773,62,69,760, right
884,57,67,761, right
995,61,68,760, right
1105,55,67,761, right
1217,49,67,760, right
1329,40,69,759, right
1441,78,66,760, left
1553,77,69,761, left
1665,20,66,761, right
1777,24,68,760, right
1889,25,68,762, right
2003,29,66,759, right
2115,32,68,761, right
2227,28,66,760, right
2339,31,67,759, right
2451,31,68,760, right
2563,29,65,759, right
2675,38,68,760, right
2787,33,66,760, right
2898,37,67,760, right
3010,36,67,760, right
3122,36,66,759, right
3234,40,68,761, right
3345,36,65,760, right
3457,41,67,761, right
3569,37,66,760, right
3681,52,66,760, right
3793,119,68,761, left
3906,62,65,760, right
4018,0,67,761, left
4128,0,65,759, left
4241,20,66,760, right
4353,34,67,760, right
4465,29,65,759, right
4577,30,67,760, right
4688,28,65,759, right
4800,34,66,760, right
4912,32,66,760, right
5024,29,65,760, right
5136,34,67,761, right
5247,30,64,760, right
5359,34,67,761, right
5471,29,65,760, right
5583,29,66,760, right
5694,35,67,761, right
5806,74,65,760, left
5918,150,68,761, left
6031,141,65,761, left
6144,127,66,761, left
6257,148,66,762, left
6372,127,63,763, left
6485,86,64,761, left
6597,92,66,763, left
6709,101,64,761, left
6822,131,67,762, left
6935,134,68,762, left
7048,118,66,762, left
7161,112,67,762, left
7274,118,66,762, left
7387,107,65,762, left
7500,111,68,763, left
7613,121,65,761, left
7726,100,66,762, left
7839,99,68,762, left
7951,88,65,762, left
8063,81,67,762, left
8175,82,66,761, left
8287,89,66,762, left
8399,86,67,762, left
8511,82,65,761, left
8625,84,67,762, left
8737,73,66,762, left
8849,67,65,762, left
8961,64,67,762, right
9073,47,64,762, right
9185,45,67,762, right
9296,43,65,763, right
9408,38,65,762, right
9520,42,66,763, right
9632,63,64,761, right
9743,65,67,764, right
9855,65,64,762, left
9967,78,66,761, left
10079,85,66,763, left
10192,79,65,762, left
10305,78,67,763, left
10418,74,66,761, left
10531,67,65,762, left
10644,68,68,763, middle
10757,66,65,762, left
10872,70,65,761, left
10985,104,68,763, left
11099,149,66,762, left
11213,42,64,762, right
11326,0,65,762, left
11438,0,61,762, left
11550,0,60,760, left
11662,5,60,762, right
11774,20,59,761, right
11887,0,62,761, left
11999,16,60,760, right
12112,55,61,760, right
12225,65,65,760, middle
12338,33,65,760, right
12451,25,66,760, right
12564,41,68,761, right
12677,129,70,760, left
12791,99,69,761, left
12904,0,67,761, left
13016,31,65,761, right
13131,120,70,760, left
13245,0,67,760, left
13357,0,60,759, left
13469,83,66,760, left
13582,166,63,760, left
13696,100,62,759, left
13810,65,67,760, right
13923,93,69,760, left
14036,119,69,760, left
14150,82,70,761, left
14263,39,68,761, right
14376,51,66,760, right
14489,125,67,760, left
14603,105,64,760, left
14717,95,64,760, left
14830,89,67,760, left
14943,72,65,760, left
15056,59,66,759, right
15169,63,67,760, right
15284,71,65,761, left
15397,59,65,760, right
15510,70,68,760, left
15623,62,65,759, right
15736,56,65,759, right
15849,60,67,760, right
15962,59,65,760, right
16075,64,66,761, right
16188,59,67,760, right
16301,54,65,759, right
16414,59,66,760, right
16527,57,66,760, right
16640,52,64,760, right
16753,57,67,760, right
16866,54,66,760, right
16979,37,65,759, right
17092,23,67,760, right
17205,0,63,759, left
17317,0,64,759, left
17431,14,66,759, right
17544,42,64,760, right
17657,116,64,759, left
17771,141,66,761, left
17885,139,63,760, left
17999,152,62,759, left
18113,112,64,760, left
18227,108,63,761, left
18341,107,63,761, left
18455,106,66,761, left
18569,95,66,761, left
18682,86,64,760, left
18795,89,67,760, left
18908,67,66,760, left
19021,61,64,760, right
19134,66,67,760, right
19247,56,65,760, right
19360,55,64,760, right
19473,62,67,761, right
19588,61,65,760, right
19701,55,64,759, right
19814,63,67,760, right
19927,58,64,759, right
20040,58,65,759, right
20153,62,66,760, right
20266,57,64,760, right
20379,59,65,760, right
20492,60,66,760, right
20605,56,64,759, right
20718,60,66,760, right
20831,60,66,761, right
20944,55,64,760, right
21057,60,66,760, right
21170,58,65,760, right
21283,56,64,760, right
21396,61,66,761, right
21509,58,65,760, right
21622,57,64,759, right
21737,60,66,760, right
21850,57,65,760, right
21963,56,64,760, right
22076,59,66,760, right
22189,55,64,760, right
22302,56,65,760, right
22415,58,66,761, right
22528,54,64,760, right
22641,57,65,760, right
22754,57,66,761, right
22867,53,64,759, right
22980,58,66,760, right
23093,57,66,761, right
23206,58,64,760, right
23319,116,66,760, left
23433,117,66,760, left
23547,71,64,761, left
23660,67,66,760, left
23773,78,65,760, left
23888,74,64,760, left
24001,78,65,759, left
24114,85,66,760, left
24227,81,63,760, left
24340,87,66,760, left
24453,84,65,761, left
24566,77,64,760, left
24679,80,66,760, left
24792,77,65,760, left
24905,74,64,761, left
25018,76,66,761, left
25131,72,64,760, left
25244,71,65,760, left
25357,73,66,760, left
25470,68,64,760, left
25583,71,65,759, left
25696,69,66,761, left
25809,67,64,759, left
25922,71,66,759, left
26035,67,66,761, left
26150,67,64,760, left
26337,71,66,760, left
26491,64,64,760, middle
26604,69,65,760, left
26717,72,66,761, left
26830,66,63,760, left
26943,75,66,760, left
27056,75,66,760, left
27169,37,64,759, right
27282,4,66,761, right
27394,9,64,759, right
27506,34,64,760, right
27619,50,66,761, right
27732,29,64,759, right
27845,30,65,760, right
27958,40,66,760, right
28071,40,64,761, right
28184,43,66,759, right
28297,47,66,760, right
28412,64,64,760, middle
28525,17,66,759, right
28638,9,66,761, right
28750,43,64,760, right
28863,72,66,761, left
28976,24,65,761, right
29089,11,64,760, right
29202,40,66,761, right
29315,29,64,761, right
29428,19,64,761, right
29541,41,66,761, right
29654,70,64,763, left
29767,61,63,764, right
29880,0,64,766, middle
29992,0,56,767, middle
30104,0,55,769, middle
30216,0,47,768, middle
30328,1,43,765, middle
30440,7,41,763, right
30552,8,38,762, right
30666,21,46,762, right
30779,28,61,769, middle
30892,19,60,771, middle
31005,15,52,768, middle
31118,28,49,767, middle
31231,43,54,769, middle
31344,41,58,771, middle
31457,19,54,768, middle
31570,24,54,766, middle
31683,37,57,767, middle
31796,63,56,768, middle
31909,79,61,769, middle
32022,10,64,769, middle
32135,10,59,768, middle
32248,20,58,768, middle
32361,24,60,769, middle
32474,3,57,768, middle
32586,13,61,769, middle
32701,9,57,769, middle
32813,13,51,768, middle
32926,23,56,768, middle
33039,23,54,768, middle
33152,34,54,770, middle
33265,29,57,770, middle
33378,14,59,769, middle
33491,19,62,768, middle
33604,26,65,769, middle
33717,19,59,768, middle
33830,21,60,769, middle
33943,31,64,768, middle
34056,27,61,770, middle
34169,25,62,768, middle
34282,26,63,769, middle
34395,26,60,768, middle
34508,26,62,769, middle
34621,28,62,769, middle
34736,30,61,768, middle
34849,29,63,770, middle
34962,26,63,769, middle
35075,21,61,769, middle
35188,27,64,768, middle
35301,27,63,770, middle
35414,27,62,769, middle
35527,32,65,769, middle
35640,31,63,769, middle
35753,35,63,768, middle
35866,28,65,769, middle
35979,31,64,768, middle
36092,31,64,768, middle
36205,33,66,769, middle
36318,32,63,769, middle
36431,34,65,769, middle
36544,31,65,768, middle
36657,33,63,769, middle
36770,32,66,770, middle
36885,32,66,769, middle
36998,32,64,769, middle
37111,37,67,768, middle
37224,36,66,769, middle
37337,36,64,768, middle
37450,38,67,769, middle
37563,37,66,770, middle
37676,38,65,768, middle
37789,40,68,769, middle
37902,38,66,769, middle
38015,39,66,768, middle
38128,42,68,769, middle
38241,39,66,768, middle
38354,41,67,769, middle
38467,40,68,770, middle
38580,36,66,769, middle
38693,38,68,769, middle
38806,39,68,769, middle
38921,36,66,769, middle
39034,39,68,769, middle
39147,42,69,769, middle
39260,38,66,770, middle
39373,41,68,769, middle
39486,40,69,770, middle
39599,37,66,769, middle
39712,40,69,769, middle
39825,38,68,770, middle
39938,38,67,769, middle
40051,42,70,769, middle
40164,40,68,770, middle
40277,42,68,769, middle
40390,45,70,769, middle
40503,43,67,770, middle
40616,44,69,769, middle
40729,46,70,770, middle
40842,42,68,769, middle
40957,45,68,769, middle
41070,47,71,769, middle
41183,44,68,769, middle
41296,46,69,770, middle
41409,47,70,771, middle
41522,45,68,770, middle
41635,49,70,769, middle
41748,48,70,770, middle
41861,46,68,770, middle
41974,49,71,770, middle
42087,47,69,770, middle
42200,46,68,769, middle
42313,48,71,769, middle
42426,45,69,770, middle
42539,45,69,768, middle
42652,48,72,770, middle
42765,47,68,769, middle
42878,49,70,769, middle
42993,51,72,770, middle
43106,48,69,769, middle
43219,51,70,770, middle
43332,53,72,771, middle
43445,49,69,770, middle
43558,52,70,770, middle
43671,52,71,769, middle
43784,50,69,769, middle
43897,53,71,770, middle
44010,52,71,770, middle
44123,50,69,768, middle
44236,53,72,770, middle
44349,47,70,770, middle
44462,42,69,770, middle
44575,44,72,770, middle
44688,40,70,770, middle
44801,40,70,769, middle
44914,42,72,770, middle
45027,38,69,769, middle
45142,38,69,769, middle
45255,41,72,770, middle
45368,39,69,770, middle
45481,41,70,769, middle
45594,41,72,770, middle
45707,37,69,769, middle
45820,40,71,771, middle
45933,40,72,770, middle
46046,38,69,770, middle
46159,42,72,770, middle
46272,41,72,771, middle
46385,38,70,769, middle
46498,42,72,768, middle
46611,39,71,770, middle
46724,39,70,770, middle
46837,42,72,770, middle
46950,39,70,771, middle
47063,40,70,769, middle
47178,42,72,770, middle
47291,39,71,770, middle
47404,39,70,769, middle
47517,41,73,770, middle
47630,38,70,770, middle
47743,38,70,768, middle
47856,42,73,770, middle
47969,36,70,769, middle
48082,39,71,770, middle
48195,41,72,770, middle
48308,37,69,770, middle
48421,40,72,769, middle
48534,39,72,770, middle
48647,35,69,769, middle
48760,40,72,770, middle
48873,37,71,769, middle
48986,36,70,770, middle
49099,40,73,770, middle
49214,38,72,770, middle
49327,37,70,768, middle
49440,41,73,770, middle
49553,38,71,770, middle
49666,37,70,770, middle
49779,41,73,772, middle
49892,38,71,770, middle
50005,39,71,768, middle
50118,42,73,770, middle
50231,37,70,770, middle
50344,39,71,770, middle
50457,41,72,770, middle
50570,37,70,769, middle
50683,41,72,769, middle
50796,40,72,771, middle
50909,37,70,770, middle
51022,40,72,770, middle
51135,38,72,770, middle
51248,37,70,770, middle
51363,39,72,770, middle
51476,38,72,770, middle
51589,36,70,770, middle
51702,40,73,769, middle
51815,37,71,769, middle
51928,38,70,770, middle
52041,40,73,769, middle
52154,37,70,770, middle
52267,38,70,769, middle
52380,40,73,770, middle
52493,36,70,770, middle
52606,39,71,769, middle
52719,39,73,770, middle
52832,36,69,769, middle
52945,39,72,770, middle
53058,39,72,770, middle
53171,36,70,770, middle
53284,40,72,770, middle
53399,40,72,771, middle
53512,37,70,770, middle
53625,40,72,769, middle
53738,39,72,770, middle
53851,37,70,770, middle
53964,41,73,769, middle
54077,38,71,769, middle
54190,37,70,770, middle
54303,42,73,771, middle
54416,37,71,769, middle
54529,38,71,770, middle
54642,41,73,769, middle
54755,36,70,770, middle
54868,38,71,770, middle
54981,40,72,770, middle
55094,36,70,770, middle
55207,39,72,769, middle
55320,38,72,770, middle
55435,36,70,770, middle
55548,39,71,769, middle
55661,39,72,771, middle
55774,37,70,770, middle
55887,40,72,770, middle
56000,39,72,770, middle
56113,36,70,770, middle
56226,40,72,770, middle
56339,38,71,770, middle
56452,36,70,769, middle
56565,40,72,771, middle
56678,38,71,769, middle
56791,39,70,770, middle
56904,41,73,769, middle
57017,38,70,770, middle
57130,39,70,769, middle
57243,40,73,770, middle
57356,37,70,770, middle
57471,38,70,769, middle
57584,41,73,770, middle
57697,37,70,769, middle
57810,38,71,769, middle
57923,40,72,771, middle
58036,37,69,769, middle
58149,39,71,770, middle
58262,38,72,770, middle
58375,37,69,768, middle
58488,40,72,769, middle
58601,40,72,770, middle
58714,38,70,770, middle
58827,41,73,770, middle
58940,39,71,770, middle
59053,39,70,769, middle
59166,41,72,770, middle
59279,41,70,770, middle
59392,46,70,769, middle
59505,48,72,771, middle
59620,48,70,771, middle
59733,29,68,770, middle
59846,20,68,770, middle
59959,16,64,769, middle
60072,21,65,768, middle
60185,21,100,775, middle
60299,18,130,777, middle
60413,19,135,779, middle
60527,22,145,778, middle
60641,26,157,778, middle
60755,23,172,780, middle
60869,30,186,780, middle
60983,30,189,781, middle
61097,28,168,778, middle
61211,30,158,775, middle
61325,32,160,776, middle
61439,32,145,774, middle
61553,37,109,770, middle
61669,38,93,766, middle
61782,37,99,768, middle
61895,40,75,764, right
62008,36,62,762, right
62121,31,76,764, right
62234,37,84,765, middle
62347,37,92,766, middle
62460,31,82,764, right
62573,39,91,766, middle
62686,45,98,768, middle
62799,43,86,766, middle
62912,41,57,761, right
63025,43,54,761, right
63138,44,66,764, right
63251,46,81,765, middle
63364,37,72,764, right
63477,29,67,763, right
63590,40,86,765, middle
63705,39,74,763, right
63818,33,57,760, right
63931,39,49,757, right
64044,37,52,759, right
64157,34,57,759, right
64270,43,50,759, right
64383,37,43,758, right
64496,34,67,761, right
64609,40,84,763, right
64722,43,82,764, right
64835,50,76,762, right
64948,48,78,763, right
65061,49,78,765, middle
65174,47,70,763, right
65287,43,70,762, right
65400,37,71,761, right
65513,40,64,760, right
65626,38,57,760, right
65739,38,53,760, right
65854,42,57,759, right
65967,44,58,759, right
66080,40,53,760, right
66193,43,58,760, right
66306,43,56,760, right
66419,40,56,760, right
66532,45,59,760, right
66645,41,57,759, right
66758,41,57,759, right
66871,46,58,760, right
66984,43,56,758, right
67097,44,57,759, right
67210,44,60,760, right
67323,40,57,760, right
67436,43,57,759, right
67549,43,60,759, right
67662,40,58,759, right
67775,43,59,760, right
67888,40,59,759, right
68003,36,57,760, right
68116,40,59,760, right
68229,40,59,761, right
68342,38,57,759, right
68455,42,60,760, right
68568,40,60,759, right
68681,38,58,760, right
68794,42,62,760, right
68907,37,60,760, right
69020,39,58,760, right
69133,41,62,761, right
69246,38,59,760, right
69359,39,60,759, right
69472,41,62,761, right
69585,38,59,760, right
69698,40,60,759, right
69811,41,61,761, right
69924,37,58,760, right
70037,40,61,760, right
70152,41,62,759, right
70265,38,59,760, right
70378,40,60,761, right
70491,41,62,761, right
70604,37,59,760, right
70717,40,61,760, right
70830,40,62,760, right
70943,36,59,761, right
71056,41,62,760, right
71169,38,61,760, right
71282,36,60,760, right
71395,40,64,761, right
71508,37,65,761, right
71621,37,67,762, right
71734,39,71,762, right
71847,35,64,761, right
71960,36,60,759, right
72073,38,58,760, right
72186,35,56,759, right
72301,38,59,760, right
72414,40,60,760, right
72527,36,57,760, right
72640,38,59,760, right
72753,39,60,760, right
72866,35,57,759, right
72979,39,60,760, right
73092,39,60,760, right
73205,35,57,760, right
73318,39,60,760, right
73431,37,60,760, right
73544,35,58,760, right
73657,39,61,759, right
73770,36,59,760, right
73883,36,58,760, right
73996,39,61,760, right
74109,35,59,761, right
74222,36,59,759, right
74335,39,61,760, right
74450,37,59,760, right
74563,36,58,759, right
74676,39,61,760, right
74789,36,59,760, right
74902,36,58,759, right
75015,39,61,761, right
75128,36,60,760, right
75241,39,60,760, right
75354,39,61,760, right
75467,36,59,759, right
75580,39,60,760, right
75693,39,61,760, right
75806,36,58,760, right
75919,40,61,760, right
76032,38,60,760, right
76145,37,58,760, right
76258,41,61,760, right
76371,38,60,760, right
76484,38,59,760, right
76599,40,61,760, right
76712,38,60,760, right
76825,37,58,758, right
76938,40,62,760, right
77051,37,60,760, right
77164,37,59,760, right
77277,40,62,761, right
77390,37,59,759, right
77503,38,60,760, right
77616,40,62,760, right
77729,36,59,760, right
77842,38,60,760, right
77955,39,62,761, right
78068,36,59,760, right
78181,39,61,760, right
78294,38,61,760, right
78407,37,59,761, right
78520,40,62,760, right
78633,38,61,760, right
78748,36,59,759, right
78861,39,61,761, right
78974,39,61,762, right
79087,36,59,759, right
79200,39,61,760, right
79313,37,60,761, right
79426,37,59,759, right
79539,40,61,760, right
79652,37,60,760, right
79765,37,59,760, right
79878,40,62,760, right
79991,36,59,760, right
80104,38,59,760, right
80217,40,62,761, right
80330,36,58,760, right
80443,39,60,760, right
80556,39,61,760, right
80669,36,58,759, right
80782,39,61,759, right
80897,39,62,760, right
81010,36,59,759, right
81123,38,60,759, right
81236,39,62,760, right
81349,36,58,761, right
81462,39,61,760, right
81575,39,61,760, right
81688,35,59,759, right
81801,39,61,760, right
81914,38,60,759, right
82027,36,59,760, right
82140,39,62,760, right
82253,37,60,760, right
82366,36,59,760, right
82479,40,62,760, right
82592,37,60,761, right
82705,37,60,759, right
82818,39,62,760, right
82931,36,59,759, right
83046,37,59,760, right
83159,39,62,760, right
83272,36,59,760, right
83385,37,60,760, right
83498,39,61,760, right
83611,36,59,759, right
83724,38,60,760, right
83837,38,61,760, right
83950,35,58,759, right
84063,39,60,760, right
84176,38,61,760, right
84289,35,58,759, right
84402,39,60,759, right
84515,37,59,760, right
84628,36,59,760, right
84741,39,61,759, right
84935,37,61,761, right
85048,37,59,759, right
85161,39,61,760, right
85276,39,61,760, right
85389,36,58,759, right
85502,39,61,760, right
85615,38,60,759, right
85728,36,59,760, right
85841,39,62,760, right
85954,36,60,761, right
86067,37,59,760, right
86180,40,62,760, right
86293,37,59,760, right
86406,37,59,759, right
86519,40,62,760, right
86632,36,59,759, right
86745,38,60,759, right
86858,39,61,760, right
86971,36,58,760, right
87084,39,60,759, right
87197,39,61,760, right
87310,35,58,759, right
87425,38,60,759, right
87538,39,62,760, right
87651,36,58,759, right
87764,39,60,760, right
87877,38,61,760, right
87990,35,58,760, right
88103,39,61,760, right
88216,38,60,761, right
88329,36,58,760, right
88442,39,61,760, right
88555,37,60,759, right
88668,36,59,759, right
88781,39,62,760, right
88894,37,59,760, right
89007,37,59,760, right
89120,39,62,761, right
89233,35,59,759, right
89346,37,60,759, right
89459,39,62,761, right
89574,36,59,759, right
89687,37,59,759, right
89800,39,62,760, right
89913,35,59,759, right
